n_steps,l_vae,l_noise,subject_lpips,global_lpips
50,15.480146408081055,0.01986175961792469,0.1536449283074087,0.1059112548828125
100,14.71617317199707,0.020749107003211975,0.16216802294784646,0.11185263097286224
200,13.98794174194336,0.021395325660705566,0.16438603011794473,0.11338762193918228
300,13.455696105957031,0.0220821313560009,0.17129090450802026,0.1180172711610794
400,13.029735565185547,0.022472864016890526,0.1822051034899282,0.12551799416542053
500,12.969735145568848,0.02254529856145382,0.1796886967703282,0.12313711643218994
600,12.71468448638916,0.02260102704167366,0.18198629989828302,0.12499900162220001
700,12.596388816833496,0.02297331392765045,0.18681559001934245,0.12771038711071014
800,12.291574478149414,0.02332882583141327,0.1867133631286702,0.1278783082962036
900,12.260744094848633,0.023405171930789948,0.1833412817697722,0.1256590485572815
1000,12.13569450378418,0.023171771317720413,0.18810302026222603,0.12860147655010223
