n_steps,l_vae,l_noise,subject_lpips,global_lpips
50,9.516242027282715,0.08999639004468918,0.4020873501119646,0.27291446924209595
100,9.341438293457031,0.08579035103321075,0.3841169627460614,0.26101768016815186
200,9.249958992004395,0.07409366220235825,0.3445587952008797,0.23423168063163757
300,9.082612991333008,0.06933922320604324,0.3304787365215057,0.2251809537410736
400,8.934588432312012,0.0668504610657692,0.31306027925121616,0.2121748924255371
500,8.762998580932617,0.06443853676319122,0.3080228548499167,0.20909400284290314
600,8.714090347290039,0.06132074445486069,0.295809594835076,0.20072408020496368
700,8.480256080627441,0.05976749584078789,0.2931679064143063,0.19952185451984406
800,8.39579963684082,0.05776304751634598,0.2856382053058289,0.19470426440238953
900,8.215662002563477,0.05749630182981491,0.2809466444159118,0.1909240335226059
1000,8.042717933654785,0.056195102632045746,0.2706378978408039,0.1843012124300003
