image_id,max_absolute_noise,mean_absolute_noise,min_absolute_noise,std_absolute_noise
0,177.0,0.48442206,0.0,4.0145373
1,222.0,0.51874286,0.0,4.0501885
2,181.0,0.5703303,0.0,4.7323403
3,239.0,0.5271123,0.0,4.3382654
4,239.0,0.5940564,0.0,5.0074944
5,214.0,0.59701663,0.0,4.958934
6,243.0,0.5828514,0.0,4.838677
7,184.0,0.58590955,0.0,5.1117563
8,241.0,0.5858142,0.0,5.0331216
9,232.0,0.5644862,0.0,4.681495
10,224.0,0.4977964,0.0,4.2594924
11,255.0,0.51674145,0.0,4.516902
12,224.0,0.6134758,0.0,4.962784
13,196.0,0.63290024,0.0,4.4792824
14,244.0,0.5121689,0.0,4.4587817
15,209.0,0.54955167,0.0,4.3406935
16,236.0,0.7122523,0.0,5.4615254
17,195.0,0.5723203,0.0,4.5682993
18,200.0,0.5636037,0.0,4.273912
19,199.0,0.53186417,0.0,4.7889304
20,237.0,0.6521289,0.0,5.1410885
21,238.0,0.5184949,0.0,4.223147
22,238.0,0.5932223,0.0,4.485777
23,186.0,0.63727826,0.0,5.0967155
24,187.0,0.50914,0.0,4.47912
25,232.0,0.57088596,0.0,4.625689
26,217.0,0.6013705,0.0,4.6897955
27,240.0,0.6041603,0.0,4.6800423
28,225.0,0.57792026,0.0,5.0999713
29,242.0,0.5752385,0.0,4.6757913
30,250.0,0.5475566,0.0,4.6141114
31,223.0,0.5163066,0.0,4.3476596
32,227.0,0.5664584,0.0,4.3937716
33,172.0,0.5111313,0.0,3.6806443
34,252.0,0.5486641,0.0,5.0055466
35,228.0,0.6704394,0.0,5.9227624
36,244.0,0.52911884,0.0,4.575244
37,227.0,0.5670967,0.0,4.6850066
38,209.0,0.6183319,0.0,5.03645
39,218.0,0.5872256,0.0,4.570072
40,252.0,0.60133487,0.0,5.036058
41,180.0,0.5444743,0.0,4.955489
42,237.0,0.48315048,0.0,3.8959846
43,237.0,0.5513255,0.0,4.494453
44,237.0,0.6832492,0.0,5.727606
45,242.0,0.62109756,0.0,4.993245
46,197.0,0.58306247,0.0,4.827972
47,255.0,0.54765445,0.0,4.8786635
48,246.0,0.61167145,0.0,4.8182607
49,210.0,0.49389648,0.0,4.00389
50,200.0,0.518472,0.0,4.118357
51,195.0,0.546786,0.0,4.521462
52,210.0,0.6149521,0.0,4.865774
53,238.0,0.561011,0.0,4.7851515
54,232.0,0.6602567,0.0,4.9993367
55,230.0,0.49880472,0.0,4.4264293
56,214.0,0.5648982,0.0,4.5610147
57,230.0,0.5291379,0.0,4.4848127
58,190.0,0.557106,0.0,4.745884
59,241.0,0.56540424,0.0,4.35665
60,232.0,0.5906194,0.0,4.635826
61,195.0,0.48900476,0.0,4.3938684
62,224.0,0.5851517,0.0,5.0488887
63,243.0,0.5561307,0.0,4.514334
64,199.0,0.4991684,0.0,3.8572237
65,201.0,0.60065717,0.0,4.616472
66,255.0,0.6852684,0.0,5.758217
67,240.0,0.60587054,0.0,4.766619
68,244.0,0.65313596,0.0,5.245394
69,188.0,0.60317105,0.0,4.696264
70,227.0,0.61977893,0.0,5.1071444
71,240.0,0.5335261,0.0,4.5754304
72,244.0,0.6037038,0.0,4.881002
73,218.0,0.5851504,0.0,4.68244
74,255.0,0.62697095,0.0,5.2162986
75,195.0,0.6423276,0.0,4.8413877
76,180.0,0.5333786,0.0,4.263512
77,240.0,0.5347379,0.0,4.5257936
78,227.0,0.5930875,0.0,4.9260817
79,198.0,0.53541183,0.0,4.5235195
80,193.0,0.630984,0.0,4.966204
81,193.0,0.5362002,0.0,4.5111847
82,224.0,0.5691655,0.0,4.7985225
83,214.0,0.46668243,0.0,4.097304
84,219.0,0.62053424,0.0,4.8860335
85,198.0,0.56317264,0.0,4.818999
86,242.0,0.57184476,0.0,4.483299
87,234.0,0.59284085,0.0,4.442843
88,202.0,0.48765945,0.0,4.3824687
89,232.0,0.5455844,0.0,4.4342012
90,207.0,0.4975268,0.0,3.7850676
91,248.0,0.5718498,0.0,4.765071
92,250.0,0.5074437,0.0,4.264561
93,243.0,0.6177788,0.0,5.055132
94,228.0,0.59768295,0.0,5.038404
95,252.0,0.67443085,0.0,5.471582
96,156.0,0.43392053,0.0,3.6392071
97,228.0,0.6092288,0.0,4.92726
98,225.0,0.55873364,0.0,4.75196
99,227.0,0.5037549,0.0,4.3662868
100,220.0,0.57473373,0.0,4.468103
101,255.0,0.73065186,0.0,6.036284
102,206.0,0.49704996,0.0,4.250587
103,255.0,0.5831337,0.0,4.056608
104,223.0,0.57319003,0.0,4.785602
105,195.0,0.55117416,0.0,4.527963
106,207.0,0.57711667,0.0,4.831334
107,241.0,0.572408,0.0,4.6800714
108,210.0,0.5016276,0.0,4.2843304
109,241.0,0.6216774,0.0,4.910644
110,188.0,0.5766881,0.0,4.77431
111,207.0,0.52840805,0.0,4.010272
112,227.0,0.6473325,0.0,5.2082787
113,182.0,0.511425,0.0,4.334369
114,214.0,0.54814273,0.0,4.2988243
115,231.0,0.67491406,0.0,5.4700313
116,239.0,0.50926465,0.0,4.4336343
117,181.0,0.53945416,0.0,4.475515
118,215.0,0.4671885,0.0,4.041277
119,206.0,0.5197322,0.0,3.8484733
120,249.0,0.5502917,0.0,4.9560304
121,226.0,0.5109024,0.0,3.7684922
122,242.0,0.55920154,0.0,4.418304
123,209.0,0.5433108,0.0,4.557273
124,222.0,0.63917667,0.0,4.5116634
125,205.0,0.5491295,0.0,4.1913443
126,241.0,0.48119354,0.0,4.063209
127,240.0,0.58239365,0.0,4.613919
128,252.0,0.6981265,0.0,5.411768
